,BSOFT.NS,COFORGE.NS,CYIENT.NS,HAPPSTMNDS.NS,HCLTECH.NS,INFY.NS,INTELLECT.NS,KPITTECH.NS,LTIMINDTREE.NS,LTTS.NS,MASTEK.NS,MPHASIS.NS,OFSS.NS,PERSISTENT.NS,SONATSOFTW.NS,TATAELXSI.NS,TCS.NS,TECHM.NS,WIPRO.NS,ZENSARTECH.NS,^CNXIT
2024-03-06,749.5472412109375,1237.965087890625,1890.805908203125,809.8464965820312,1501.174560546875,1522.8988037109375,1065.61083984375,1488.9124755859375,,5107.353515625,2834.096923828125,2421.4501953125,7199.671875,4133.6611328125,783.0123291015625,7444.689453125,3760.554931640625,1201.9945068359375,240.51358032226562,547.9847412109375,37001.80078125
2024-03-07,752.958251953125,1224.3388671875,1909.3447265625,816.5743408203125,1495.194580078125,1521.8631591796875,1080.4737548828125,1478.97900390625,,5122.23388671875,2792.5751953125,2392.32421875,7465.40087890625,4137.09521484375,767.4027099609375,7527.388671875,3801.543701171875,1218.2132568359375,241.61500549316406,574.7275390625,37099.8984375
2024-03-11,754.9074096679688,1223.1544189453125,1865.83154296875,808.6187744140625,1496.107666015625,1506.940673828125,1082.05908203125,1458.419677734375,,5092.90869140625,2707.811767578125,2370.107421875,7287.03466796875,4069.124755859375,761.3727416992188,7543.2529296875,3814.2666015625,1219.0172119140625,241.16973876953125,558.4386596679688,36988.30078125
2024-03-12,741.0684814453125,1226.2867431640625,1886.2913818359375,791.529052734375,1493.322998046875,1518.5679931640625,1107.672607421875,1439.4420166015625,,5093.14990234375,2658.32958984375,2328.505859375,7437.1650390625,4057.388427734375,733.5088500976562,7416.87841796875,3878.942138671875,1222.137939453125,239.43556213378906,548.6168823242188,37224.25
2024-03-13,704.91162109375,1208.656982421875,1822.1741943359375,771.1491088867188,1489.57958984375,1517.108642578125,1119.4141845703125,1399.2625732421875,,4980.4365234375,2574.6962890625,2279.51416015625,7223.81689453125,4016.151611328125,719.9900512695312,7239.53271484375,3838.924560546875,1207.85791015625,236.4124298095703,510.7392272949219,36946.44921875
2024-03-14,744.2844848632812,1191.820068359375,1869.0013427734375,787.5512084960938,1533.176025390625,1556.5570068359375,1162.3675537109375,1412.803955078125,,5085.2744140625,2664.32421875,2382.439208984375,7616.83544921875,4105.71630859375,708.027587890625,7570.32958984375,3893.1455078125,1223.1309814453125,242.76333618164062,536.752685546875,37679.6015625
2024-03-15,736.4879150390625,1197.45849609375,1907.8558349609375,778.4661865234375,1504.005126953125,1538.3861083984375,1109.01025390625,1412.803955078125,,5236.4443359375,2583.000732421875,2387.525634765625,7601.63720703125,4166.91748046875,711.4315185546875,7547.21923828125,3903.92431640625,1212.5863037109375,242.3180694580078,538.8921508789062,37500.69921875
2024-03-18,708.6637573242188,1115.378662109375,1916.64501953125,773.1134643554688,1500.4442138671875,1508.87060546875,1089.1932373046875,1367.287109375,,5205.1865234375,2585.555908203125,2362.573974609375,7746.23681640625,4041.84765625,724.9988403320312,7543.00830078125,3842.162841796875,1203.554931640625,239.1309051513672,567.482666015625,36886.05078125
2024-03-19,702.621337890625,1088.0478515625,1897.145751953125,769.7249145507812,1460.0435791015625,1470.0814208984375,1043.01953125,1342.2303466796875,,5015.36669921875,2581.231689453125,2291.51025390625,7441.07568359375,3943.06640625,729.521240234375,7477.5439453125,3680.056640625,1184.262451171875,231.9363555908203,562.3773193359375,35814.6484375
2024-03-20,699.64892578125,1082.605224609375,1920.871337890625,761.7693481445312,1449.0418701171875,1463.9617919921875,1003.9304809570312,1331.9510498046875,,5016.6708984375,2558.235107421875,2288.487060546875,7411.44580078125,3954.431884765625,708.6597900390625,7399.8388671875,3674.134521484375,1195.658203125,231.30360412597656,560.3350219726562,35748.8984375
