ticker,week,job_count,skill_ai_ml_share,skill_cloud_share,skill_legacy_share,skill_digital_share,skill_data_share,skill_security_share,senior_share,junior_share,seniority_score,volume_zscore,skill_ai_ml_velocity,skill_cloud_velocity,skill_legacy_velocity,skill_digital_velocity,skill_data_velocity,skill_security_velocity,trends_raw,trends_zscore,trends_velocity,trends_spike,fwd_excess_7d,fwd_excess_14d
COFORGE.NS,2026-05-25,101,0.2376237623738849,0.386138613857563,0.0891089108902068,0.1089108910880305,0.227722772274973,0.0693069306923831,0.1881188118793255,0.0396039603956474,0.148514851483678,0.7071067811757947,0.2376237623738849,0.136138613888813,-0.2858910890629181,-0.1410891088807194,-0.0222772276937769,0.0693069306923831,,,,,,
KPITTECH.NS,2026-05-04,20,0.0499999999975,0.099999999995,0.0,0.299999999985,0.2499999999875,0.0,0.1499999999925,0.0,0.1499999999925,,,,,,,,,,,,-0.03545858266172741,-0.017141814341749884
KPITTECH.NS,2026-05-18,4,0.0,0.0,0.0,0.0,0.2499999999375,0.2499999999375,0.2499999999375,0.0,0.2499999999375,-0.7071067811240475,-0.0499999999975,-0.099999999995,0.0,-0.299999999985,-5.000000413701855e-11,0.2499999999375,,,,,0.07229085206775654,
KPITTECH.NS,2026-05-25,6,0.0,0.3333333332777777,0.0,0.3333333332777777,0.3333333332777777,0.3333333332777777,0.3333333332777777,0.3333333332777777,0.0,-0.4588314676884919,0.0,0.3333333332777777,0.0,0.3333333332777777,0.0833333333402777,0.0833333333402777,,,,,,
TATAELXSI.NS,2026-05-04,33,0.1212121212084481,0.2424242424168962,0.0,0.030303030302112,0.0909090909063361,0.030303030302112,0.2424242424168962,0.0,0.2424242424168962,,,,,,,,,,,,0.00529785445497577,0.03731280793105096
TATAELXSI.NS,2026-05-11,13,0.1538461538343195,0.2307692307514793,0.0,0.0,0.2307692307514793,0.0,0.1538461538343195,0.0,0.1538461538343195,-0.7071067811365475,0.0326340326258713,-0.0116550116654169,0.0,-0.030303030302112,0.1398601398451431,-0.030303030302112,,,,,-0.011569669700351892,
TATAELXSI.NS,2026-05-18,18,0.1666666666574074,0.2777777777623457,0.0,0.1111111111049382,0.1666666666574074,0.0,0.1666666666574074,0.0,0.1666666666574074,-0.3202563075794049,0.0128205128230878,0.0470085470108664,0.0,0.1111111111049382,-0.0641025640940718,0.0,,,,,0.024299935161469444,
TATAELXSI.NS,2026-05-25,16,0.249999999984375,0.4374999999726562,0.0,0.0,0.1249999999921875,0.0,0.3749999999765625,0.0,0.3749999999765625,-0.4490887130886517,0.0833333333269676,0.1597222222103105,0.0,-0.1111111111049382,-0.0416666666652199,0.0,,,,,,
BSOFT.NS,2026-05-11,3,0.0,0.0,0.3333333332222222,0.6666666664444444,0.0,0.0,0.6666666664444444,0.0,0.6666666664444444,,,,,,,,,,,,-0.09707498015549576,
BSOFT.NS,2026-05-18,15,0.0666666666622222,0.1999999999866666,0.0,0.3333333333111111,0.1333333333244444,0.1333333333244444,0.5333333332977778,0.0,0.5333333332977778,0.7071067811032142,0.0666666666622222,0.1999999999866666,-0.3333333332222222,-0.3333333331333333,0.1333333333244444,0.1333333333244444,,,,,0.04154733287763235,
BSOFT.NS,2026-05-25,83,0.0,0.1807228915640876,0.0481927710837567,0.1807228915640876,0.1445783132512701,0.0361445783128175,0.409638554211932,0.0,0.409638554211932,1.14347950032201,-0.0666666666622222,-0.019277108422579,0.0481927710837567,-0.1526104417470234,0.0112449799268256,-0.0971887550116269,,,,,,
MASTEK.NS,2026-05-04,26,0.0,0.3461538461405325,0.0384615384600591,0.0384615384600591,0.230769230760355,0.0,0.1538461538402367,0.0,0.1538461538402367,,,,,,,,,,,,-0.01693739693200702,-0.0184824436102492
MASTEK.NS,2026-05-11,5,0.0,0.39999999992,0.0,0.0,0.19999999996,0.19999999996,0.39999999992,0.0,0.39999999992,-0.7071067811389286,0.0,0.0538461537794675,-0.0384615384600591,-0.0384615384600591,-0.030769230800355,0.19999999996,,,,,-0.018774708757713365,
MASTEK.NS,2026-05-18,9,0.0,0.1111111110987654,0.0,0.2222222221975308,0.3333333332962963,0.0,0.1111111110987654,0.0,0.1111111110987654,-0.3886228290765157,0.0,-0.2888888888212346,0.0,0.2222222221975308,0.1333333333362962,-0.19999999996,,,,,0.03359695153387099,
MASTEK.NS,2026-05-25,23,0.0,0.1739130434706994,0.0434782608676748,0.0869565217353497,0.1304347826030245,0.0434782608676748,0.0869565217353497,0.0869565217353497,0.0,0.7033533125371303,0.0,0.062801932371934,0.0434782608676748,-0.1352657004621811,-0.2028985506932717,0.0434782608676748,,,,,,
ZENSARTECH.NS,2026-05-04,10,0.0,0.29999999997,0.09999999999,0.29999999997,0.19999999998,0.09999999999,0.19999999998,0.09999999999,0.09999999999,,,,,,,,,,,,0.006541443011224168,-0.035846363656410696
ZENSARTECH.NS,2026-05-11,11,0.0909090909008264,0.1818181818016528,0.0,0.0909090909008264,0.0909090909008264,0.0,0.1818181818016528,0.0,0.1818181818016528,0.7071067801865475,0.0909090909008264,-0.1181818181683471,-0.09999999999,-0.2090909090691735,-0.1090909090791735,-0.09999999999,,,,,-0.05938687781360219,
ZENSARTECH.NS,2026-05-18,25,0.1199999999952,0.2799999999888,0.0799999999968,0.0399999999984,0.0799999999968,0.0799999999968,0.1599999999936,0.0,0.1599999999936,1.1526465184624473,0.0290909090943735,0.0981818181871471,0.0799999999968,-0.0509090909024264,-0.0109090909040264,0.0799999999968,,,,,-0.00782160889950334,
ZENSARTECH.NS,2026-05-25,50,0.0799999999984,0.3399999999932,0.099999999998,0.0799999999984,0.099999999998,0.1599999999968,0.1199999999976,0.0,0.1199999999976,1.3950832224236214,-0.0399999999968,0.0600000000044,0.0200000000012,0.04,0.0200000000012,0.08,,,,,,
SONATSOFTW.NS,2026-05-04,27,0.0370370370356652,0.4074074073923182,0.0740740740713305,0.259259259249657,0.1481481481426611,0.1111111111069958,0.259259259249657,0.0,0.259259259249657,,,,,,,,,,,,0.06147175310237296,0.02951520993654677
SONATSOFTW.NS,2026-05-11,17,0.0588235294083045,0.352941176449827,0.0588235294083045,0.117647058816609,0.235294117633218,0.0588235294083045,0.4117647058581314,0.0,0.4117647058581314,-0.7071067810865475,0.0217864923726392,-0.0544662309424912,-0.015250544663026,-0.141612200433048,0.0871459694905568,-0.0522875816986913,,,,,-0.10178695477309219,
SONATSOFTW.NS,2026-05-18,16,0.0,0.3124999999804687,0.0624999999960937,0.0624999999960937,0.0624999999960937,0.0624999999960937,0.3749999999765625,0.0,0.3749999999765625,-0.6575959491133211,-0.0588235294083045,-0.0404411764693582,0.0036764705877892,-0.0551470588205152,-0.1727941176371242,0.0036764705877892,,,,,0.004104747158588218,
SONATSOFTW.NS,2026-05-25,26,0.1153846153801775,0.2692307692204142,0.0,0.0,0.1538461538402367,0.0769230769201183,0.0769230769201183,0.0,0.0769230769201183,0.7755547358552619,0.1153846153801775,-0.0432692307600545,-0.0624999999960937,-0.0624999999960937,0.0913461538441429,0.0144230769240246,,,,,,
INTELLECT.NS,2026-05-04,9,0.0,0.3333333332962963,0.0,0.3333333332962963,0.1111111110987654,0.0,0.5555555554938272,0.0,0.5555555554938272,,,,,,,,13.0,-0.8853605865919468,3.0,0.0,0.017704074725359842,-0.04780621136651986
INTELLECT.NS,2026-05-11,6,0.0,0.3333333332777777,0.0,0.1666666666388888,0.0,0.0,0.6666666665555555,0.0,0.6666666665555555,-0.7071067808532142,0.0,-1.8518520050747608e-11,0.0,-0.1666666666574074,-0.1111111110987654,0.0,13.0,-0.8853605865919468,3.0,0.0,-0.08766896441956284,
INTELLECT.NS,2026-05-18,39,0.0,0.0256410256403681,0.0512820512807363,0.0,0.0,0.0769230769211045,0.2051282051229454,0.1025641025614727,0.1025641025614727,1.150792911074438,0.0,-0.3076923076374095,0.0512820512807363,-0.1666666666388888,0.0,0.0769230769211045,13.0,-0.8853605865919468,3.0,0.0,0.009210811806050767,
INTELLECT.NS,2026-05-25,52,0.0,0.0384615384607988,0.0,0.096153846151997,0.0576923076911982,0.0192307692303994,0.2499999999951923,0.0769230769215976,0.1730769230735946,1.1280535857198104,0.0,0.0128205128204306,-0.0512820512807363,0.096153846151997,0.0576923076911982,-0.0576923076907051,13.0,-0.8853605865919468,3.0,0.0,,
HAPPSTMNDS.NS,2026-05-04,8,0.24999999996875,0.124999999984375,0.0,0.0,0.124999999984375,0.124999999984375,0.999999999875,0.0,0.999999999875,,,,,,,,,,,,-0.01739420003120218,-0.010088215385840815
HAPPSTMNDS.NS,2026-05-18,12,0.0833333333263888,0.3333333333055555,0.0,0.3333333333055555,0.0,0.2499999999791666,0.8333333332638889,0.0,0.8333333332638889,0.7071067809365474,-0.1666666666423611,0.2083333333211805,0.0,0.3333333333055555,-0.124999999984375,0.1249999999947916,,,,,0.03859673701440425,
