week,trends_raw,ticker,trends_zscore,trends_velocity,trends_spike
2026-01-01,24,LTTS.NS,0.5669467092994545,-1.0,0
2026-02-01,31,LTTS.NS,2.1815580211306878,7.0,1
2026-03-01,29,LTTS.NS,1.329059480023734,-2.0,0
2026-04-01,24,LTTS.NS,-0.06903644829513912,-5.0,0
2026-05-01,20,LTTS.NS,-1.0240294354281234,-4.0,0
2021-01-01,41,PERSISTENT.NS,,,0
2021-02-01,34,PERSISTENT.NS,,-7.0,0
2021-03-01,30,PERSISTENT.NS,,-4.0,0
2021-04-01,31,PERSISTENT.NS,-0.6040404495710002,1.0,0
2021-05-01,47,PERSISTENT.NS,1.4380781734940822,16.0,0
2021-06-01,49,PERSISTENT.NS,1.258043946537496,2.0,0
2021-07-01,61,PERSISTENT.NS,1.6954782389481988,12.0,1
2021-08-01,54,PERSISTENT.NS,0.9402418186355004,-7.0,0
2021-09-01,73,PERSISTENT.NS,1.8204263084009005,19.0,1
2021-10-01,74,PERSISTENT.NS,1.5235451774255233,1.0,1
2021-11-01,46,PERSISTENT.NS,-0.20133293102630775,-28.0,0
2021-12-01,68,PERSISTENT.NS,1.1095151741653542,22.0,0
2022-01-01,78,PERSISTENT.NS,1.4164254818975044,10.0,0
2022-02-01,67,PERSISTENT.NS,0.6445677821984834,-11.0,0
2022-03-01,57,PERSISTENT.NS,-0.12499275340420875,-10.0,0
2022-04-01,43,PERSISTENT.NS,-1.3792794399459765,-14.0,0
2022-05-01,44,PERSISTENT.NS,-1.2442604020859167,1.0,0
2022-06-01,33,PERSISTENT.NS,-1.7489482388027013,-11.0,0
2022-07-01,44,PERSISTENT.NS,-0.8549802998528714,11.0,0
2022-08-01,36,PERSISTENT.NS,-1.1975562973110072,-8.0,0
2022-09-01,46,PERSISTENT.NS,-0.4595725149788565,10.0,0
2022-10-01,46,PERSISTENT.NS,-0.33817824241277256,0.0,0
2022-11-01,41,PERSISTENT.NS,-0.6594537803175412,-5.0,0
2022-12-01,48,PERSISTENT.NS,-0.04533859953033363,7.0,0
2023-01-01,63,PERSISTENT.NS,1.5357956307076523,15.0,1
2023-02-01,56,PERSISTENT.NS,1.1079878747160643,-7.0,0
2023-03-01,44,PERSISTENT.NS,-0.1668247194709436,-12.0,0
2023-04-01,52,PERSISTENT.NS,0.7238596973836262,8.0,0
2023-05-01,41,PERSISTENT.NS,-0.5831468813001682,-11.0,0
2023-06-01,52,PERSISTENT.NS,0.6211472782449079,11.0,0
2023-07-01,62,PERSISTENT.NS,1.5608041559002672,10.0,1
2023-08-01,53,PERSISTENT.NS,0.3614702304578689,-9.0,0
2023-09-01,49,PERSISTENT.NS,-0.21787719683005324,-4.0,0
2023-10-01,46,PERSISTENT.NS,-0.6306971487185746,-3.0,0
2023-11-01,61,PERSISTENT.NS,1.2217113586282105,15.0,0
2023-12-01,64,PERSISTENT.NS,1.3418242628429664,3.0,0
2024-01-01,92,PERSISTENT.NS,2.6832815727997463,28.0,1
2024-02-01,65,PERSISTENT.NS,0.6037034298991198,-27.0,0
2024-03-01,66,PERSISTENT.NS,0.5589199802838962,1.0,0
2024-04-01,96,PERSISTENT.NS,2.000054871824088,30.0,1
2024-05-01,69,PERSISTENT.NS,0.2839718751545428,-27.0,0
2024-06-01,71,PERSISTENT.NS,0.31973431372072636,2.0,0
2024-07-01,88,PERSISTENT.NS,1.2077685050230424,17.0,0
2024-08-01,63,PERSISTENT.NS,-0.393487494031074,-25.0,0
2024-09-01,69,PERSISTENT.NS,-0.12785669636312527,6.0,0
2024-10-01,76,PERSISTENT.NS,0.22133900100740075,7.0,0
2024-11-01,71,PERSISTENT.NS,-0.27660897323010214,-5.0,0
2024-12-01,87,PERSISTENT.NS,0.9479188275437748,16.0,0
2025-01-01,100,PERSISTENT.NS,1.8317103832080175,13.0,1
2025-02-01,80,PERSISTENT.NS,0.16450006260866412,-20.0,0
2025-03-01,70,PERSISTENT.NS,-0.7032305174072251,-10.0,0
2025-04-01,99,PERSISTENT.NS,1.6625277217430503,29.0,1
2025-05-01,70,PERSISTENT.NS,-0.7096402798245312,-29.0,0
2025-06-01,69,PERSISTENT.NS,-0.7698613947121355,-1.0,0
2025-07-01,83,PERSISTENT.NS,0.4072973982014209,14.0,0
2025-08-01,62,PERSISTENT.NS,-1.3127750045957922,-21.0,0
2025-09-01,66,PERSISTENT.NS,-0.946213802433017,4.0,0
2025-10-01,76,PERSISTENT.NS,-0.14092545993683234,10.0,0
