ticker,week,job_count,skill_ai_ml_share,skill_cloud_share,skill_legacy_share,skill_digital_share,skill_data_share,skill_security_share,senior_share,junior_share,seniority_score,volume_zscore,skill_ai_ml_velocity,skill_cloud_velocity,skill_legacy_velocity,skill_digital_velocity,skill_data_velocity,skill_security_velocity,fwd_excess,horizon_days
MPHASIS.NS,2026-05-18,19,0.0526315789445983,0.1052631578891966,0.0,0.0526315789445983,0.1052631578891966,0.0526315789445983,0.157894736833795,0.0526315789445983,0.1052631578891966,0.7559289458755972,0.0526315789445983,-0.0058479532095687,0.0,0.0526315789445983,-0.0058479532095687,0.0526315789445983,0.02107598749035433,7
COFORGE.NS,2026-05-18,7,0.0,0.2857142856734694,0.2857142856734694,0.2857142856734694,0.2857142856734694,0.0,0.4285714285102041,0.0,0.4285714285102041,,,,,,,,0.0116867736361852,7
KPITTECH.NS,2026-05-04,20,0.0499999999975,0.099999999995,0.0,0.299999999985,0.2499999999875,0.0,0.1499999999925,0.0,0.1499999999925,,,,,,,,-0.03545858266172741,7
KPITTECH.NS,2026-05-18,3,0.0,0.0,0.0,0.0,0.3333333332222222,0.3333333332222222,0.3333333332222222,0.0,0.3333333332222222,-0.7071067811277241,-0.0499999999975,-0.099999999995,0.0,-0.299999999985,0.0833333332347222,0.3333333332222222,0.07229085206775654,7
TATAELXSI.NS,2026-05-04,26,0.1153846153801775,0.3076923076804734,0.0,0.0384615384600591,0.0384615384600591,0.0384615384600591,0.3076923076804734,0.0,0.3076923076804734,,,,,,,,0.00529785445497577,7
TATAELXSI.NS,2026-05-11,9,0.2222222221975308,0.3333333332962963,0.0,0.0,0.3333333332962963,0.0,0.2222222221975308,0.0,0.2222222221975308,-0.7071067811277241,0.1068376068173533,0.0256410256158228,0.0,-0.0384615384600591,0.2948717948362371,-0.0384615384600591,-0.011569669700351892,7
TATAELXSI.NS,2026-05-18,16,0.1874999999882812,0.3124999999804687,0.0,0.1249999999921875,0.1874999999882812,0.0,0.1874999999882812,0.0,0.1874999999882812,-0.1170411471824319,-0.0347222222092495,-0.0208333333158275,0.0,0.1249999999921875,-0.145833333308015,0.0,0.024299935161469444,7
BSOFT.NS,2026-05-18,8,0.124999999984375,0.124999999984375,0.0,0.374999999953125,0.124999999984375,0.124999999984375,0.4999999999375,0.0,0.4999999999375,,,,,,,,0.04154733287763235,7
MASTEK.NS,2026-05-04,16,0.0,0.3124999999804687,0.0,0.0,0.1874999999882812,0.0,0.1874999999882812,0.0,0.1874999999882812,,,,,,,,-0.01693739693200702,7
MASTEK.NS,2026-05-11,4,0.0,0.499999999875,0.0,0.0,0.2499999999375,0.2499999999375,0.2499999999375,0.0,0.2499999999375,-0.7071067811032142,0.0,0.1874999998945312,0.0,0.0,0.0624999999492187,0.2499999999375,-0.018774708757713365,7
MASTEK.NS,2026-05-18,8,0.0,0.124999999984375,0.0,0.24999999996875,0.24999999996875,0.0,0.124999999984375,0.0,0.124999999984375,-0.2182178902002781,0.0,-0.374999999890625,0.0,0.24999999996875,3.1250002585636594e-11,-0.2499999999375,0.03359695153387099,7
ZENSARTECH.NS,2026-05-04,9,0.0,0.2222222221975308,0.1111111110987654,0.3333333332962963,0.1111111110987654,0.1111111110987654,0.2222222221975308,0.1111111110987654,0.1111111110987654,,,,,,,,0.006541443011224168,7
ZENSARTECH.NS,2026-05-11,5,0.0,0.19999999996,0.0,0.0,0.0,0.0,0.39999999992,0.0,0.39999999992,-0.7071067809365474,0.0,-0.0222222222375308,-0.1111111110987654,-0.3333333332962963,-0.1111111110987654,-0.1111111110987654,-0.05938687781360219,7
ZENSARTECH.NS,2026-05-18,22,0.136363636357438,0.272727272714876,0.0454545454524793,0.0454545454524793,0.0909090909049586,0.0454545454524793,0.136363636357438,0.0,0.136363636357438,1.1250879007994417,0.136363636357438,0.072727272754876,0.0454545454524793,0.0454545454524793,0.0909090909049586,0.0454545454524793,-0.00782160889950334,7
SONATSOFTW.NS,2026-05-04,20,0.0,0.3499999999825,0.099999999995,0.299999999985,0.0499999999975,0.099999999995,0.299999999985,0.0,0.299999999985,,,,,,,,0.06147175310237296,7
SONATSOFTW.NS,2026-05-11,14,0.0714285714234693,0.4285714285408163,0.0714285714234693,0.1428571428469387,0.2857142856938775,0.0714285714234693,0.2857142856938775,0.0,0.2857142856938775,-0.7071067810198809,0.0714285714234693,0.0785714285583163,-0.0285714285715306,-0.1571428571380612,0.2357142856963775,-0.0285714285715306,-0.10178695477309219,7
SONATSOFTW.NS,2026-05-18,13,0.0,0.2307692307514793,0.0769230769171597,0.0769230769171597,0.0769230769171597,0.0769230769171597,0.3846153845857988,0.0,0.3846153845857988,-0.7043607248744523,-0.0714285714234693,-0.197802197789337,0.0054945054936903,-0.065934065929779,-0.2087912087767177,0.0054945054936903,0.004104747158588218,7
INTELLECT.NS,2026-05-04,8,0.0,0.374999999953125,0.0,0.374999999953125,0.124999999984375,0.0,0.4999999999375,0.0,0.4999999999375,,,,,,,,0.017704074725359842,7
INTELLECT.NS,2026-05-11,5,0.0,0.39999999992,0.0,0.19999999996,0.0,0.0,0.79999999984,0.0,0.79999999984,-0.7071067808532142,0.0,0.024999999966875,0.0,-0.174999999993125,-0.124999999984375,0.0,-0.08766896441956284,7
INTELLECT.NS,2026-05-18,23,0.0,0.0434782608676748,0.0434782608676748,0.0,0.0,0.0869565217353497,0.2173913043383742,0.0869565217353497,0.1304347826030245,1.140646864085188,0.0,-0.3565217390523251,0.0434782608676748,-0.19999999996,0.0,0.0869565217353497,0.009210811806050767,7
HAPPSTMNDS.NS,2026-05-04,6,0.1666666666388888,0.1666666666388888,0.0,0.0,0.1666666666388888,0.1666666666388888,0.9999999998333332,0.0,0.9999999998333332,,,,,,,,-0.01739420003120218,7
HAPPSTMNDS.NS,2026-05-18,9,0.1111111110987654,0.3333333332962963,0.0,0.2222222221975308,0.0,0.2222222221975308,0.8888888887901234,0.0,0.8888888887901234,0.7071067808532142,-0.0555555555401234,0.1666666666574074,0.0,0.2222222221975308,-0.1666666666388888,0.0555555555586419,0.03859673701440425,7
CYIENT.NS,2026-05-04,3,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999996666666,0.0,0.9999999996666666,,,,,,,,0.056797062201157544,7
CYIENT.NS,2026-05-11,9,0.0,0.0,0.0,0.0,0.2222222221975308,0.0,0.2222222221975308,0.0,0.2222222221975308,0.7071067810198809,0.0,0.0,0.0,0.0,0.2222222221975308,0.0,-0.011062687546417815,7
CYIENT.NS,2026-05-18,32,0.0312499999990234,0.1874999999941406,0.0,0.1562499999951172,0.0624999999980468,0.0312499999990234,0.218749999993164,0.0,0.218749999993164,1.132309246330321,0.0312499999990234,0.1874999999941406,0.0,0.1562499999951172,-0.1597222221994839,0.0312499999990234,0.02862946817172496,7
LTTS.NS,2026-05-04,9,0.0,0.1111111110987654,0.1111111110987654,0.0,0.0,0.0,0.5555555554938272,0.0,0.5555555554938272,,,,,,,,-0.016452422044529014,7
LTTS.NS,2026-05-18,16,0.0624999999960937,0.0624999999960937,0.4374999999726562,0.0,0.0624999999960937,0.0624999999960937,0.6874999999570313,0.0,0.6874999999570313,0.7071067810436904,0.0624999999960937,-0.0486111111026716,0.3263888888738908,0.0,0.0624999999960937,0.0624999999960937,-0.02342711448489887,7
OFSS.NS,2026-05-04,30,0.0,0.0999999999966666,0.1333333333288889,0.0333333333322222,0.3666666666544444,0.0,0.2333333333255555,0.0,0.2333333333255555,,,,,,,,-0.016207180782224495,7
OFSS.NS,2026-05-11,10,0.0,0.19999999998,0.0,0.0,0.29999999997,0.0,0.09999999999,0.0,0.09999999999,-0.7071067811365475,0.0,0.0999999999833333,-0.1333333333288889,-0.0333333333322222,-0.0666666666844444,0.0,0.055139097398050785,7
OFSS.NS,2026-05-18,9,0.0,0.5555555554938272,0.2222222221975308,0.0,0.3333333332962963,0.0,0.0,0.0,0.0,-0.6190432686194314,0.0,0.3555555555138271,0.2222222221975308,0.0,0.0333333333262962,0.0,0.07649441170918769,7
