ticker,week,job_count,skill_ai_ml_share,skill_cloud_share,skill_legacy_share,skill_digital_share,skill_data_share,skill_security_share,senior_share,junior_share,seniority_score,volume_zscore,skill_ai_ml_velocity,skill_cloud_velocity,skill_legacy_velocity,skill_digital_velocity,skill_data_velocity,skill_security_velocity
COFORGE.NS,2026-05-25,101,0.2376237623738849,0.386138613857563,0.08910891089020684,0.10891089108803058,0.22772277227497303,0.0693069306923831,0.18811881187932555,0.03960396039564749,0.14851485148367807,0.7071067811757947,0.2376237623738849,0.136138613888813,-0.28589108906291816,-0.1410891088807194,-0.022277227693776963,0.0693069306923831
KPITTECH.NS,2026-05-04,20,0.0499999999975,0.099999999995,0.0,0.299999999985,0.2499999999875,0.0,0.1499999999925,0.0,0.1499999999925,,,,,,,
KPITTECH.NS,2026-05-18,4,0.0,0.0,0.0,0.0,0.2499999999375,0.2499999999375,0.2499999999375,0.0,0.2499999999375,-0.7071067811240475,-0.0499999999975,-0.099999999995,0.0,-0.299999999985,-5.000000413701855e-11,0.2499999999375
KPITTECH.NS,2026-05-25,6,0.0,0.33333333327777775,0.0,0.33333333327777775,0.33333333327777775,0.33333333327777775,0.33333333327777775,0.33333333327777775,0.0,-0.4588314676884919,0.0,0.33333333327777775,0.0,0.33333333327777775,0.08333333334027776,0.08333333334027776
TATAELXSI.NS,2026-05-04,33,0.12121212120844813,0.24242424241689625,0.0,0.03030303030211203,0.0909090909063361,0.03030303030211203,0.24242424241689625,0.0,0.24242424241689625,,,,,,,
TATAELXSI.NS,2026-05-11,13,0.15384615383431952,0.2307692307514793,0.0,0.0,0.2307692307514793,0.0,0.15384615383431952,0.0,0.15384615383431952,-0.7071067811365475,0.03263403262587139,-0.011655011665416964,0.0,-0.03030303030211203,0.13986013984514317,-0.03030303030211203
TATAELXSI.NS,2026-05-18,18,0.1666666666574074,0.2777777777623457,0.0,0.11111111110493826,0.1666666666574074,0.0,0.1666666666574074,0.0,0.1666666666574074,-0.32025630757940493,0.012820512823087882,0.0470085470108664,0.0,0.11111111110493826,-0.06410256409407189,0.0
TATAELXSI.NS,2026-05-25,16,0.249999999984375,0.43749999997265626,0.0,0.0,0.1249999999921875,0.0,0.3749999999765625,0.0,0.3749999999765625,-0.4490887130886517,0.0833333333269676,0.15972222221031057,0.0,-0.11111111110493826,-0.0416666666652199,0.0
BSOFT.NS,2026-05-11,3,0.0,0.0,0.3333333332222222,0.6666666664444444,0.0,0.0,0.6666666664444444,0.0,0.6666666664444444,,,,,,,
BSOFT.NS,2026-05-18,15,0.06666666666222222,0.19999999998666668,0.0,0.3333333333111111,0.13333333332444444,0.13333333332444444,0.5333333332977778,0.0,0.5333333332977778,0.7071067811032142,0.06666666666222222,0.19999999998666668,-0.3333333332222222,-0.3333333331333333,0.13333333332444444,0.13333333332444444
BSOFT.NS,2026-05-25,83,0.0,0.18072289156408766,0.04819277108375671,0.18072289156408766,0.14457831325127013,0.03614457831281753,0.40963855421193207,0.0,0.40963855421193207,1.14347950032201,-0.06666666666222222,-0.019277108422579015,0.04819277108375671,-0.15261044174702343,0.011244979926825688,-0.09718875501162691
MASTEK.NS,2026-05-04,26,0.0,0.3461538461405325,0.038461538460059175,0.038461538460059175,0.23076923076035502,0.0,0.1538461538402367,0.0,0.1538461538402367,,,,,,,
MASTEK.NS,2026-05-11,5,0.0,0.39999999992,0.0,0.0,0.19999999996,0.19999999996,0.39999999992,0.0,0.39999999992,-0.7071067811389286,0.0,0.0538461537794675,-0.038461538460059175,-0.038461538460059175,-0.030769230800355013,0.19999999996
MASTEK.NS,2026-05-18,9,0.0,0.11111111109876542,0.0,0.22222222219753085,0.3333333332962963,0.0,0.11111111109876542,0.0,0.11111111109876542,-0.3886228290765157,0.0,-0.2888888888212346,0.0,0.22222222219753085,0.13333333333629627,-0.19999999996
MASTEK.NS,2026-05-25,23,0.0,0.17391304347069944,0.04347826086767486,0.08695652173534972,0.13043478260302457,0.04347826086767486,0.08695652173534972,0.08695652173534972,0.0,0.7033533125371303,0.0,0.06280193237193402,0.04347826086767486,-0.13526570046218112,-0.2028985506932717,0.04347826086767486
ZENSARTECH.NS,2026-05-04,10,0.0,0.29999999997,0.09999999999,0.29999999997,0.19999999998,0.09999999999,0.19999999998,0.09999999999,0.09999999999,,,,,,,
ZENSARTECH.NS,2026-05-11,11,0.09090909090082644,0.18181818180165288,0.0,0.09090909090082644,0.09090909090082644,0.0,0.18181818180165288,0.0,0.18181818180165288,0.7071067801865475,0.09090909090082644,-0.11818181816834711,-0.09999999999,-0.20909090906917355,-0.10909090907917357,-0.09999999999
ZENSARTECH.NS,2026-05-18,25,0.1199999999952,0.2799999999888,0.0799999999968,0.0399999999984,0.0799999999968,0.0799999999968,0.1599999999936,0.0,0.1599999999936,1.1526465184624473,0.029090909094373563,0.09818181818714711,0.0799999999968,-0.050909090902426436,-0.010909090904026433,0.0799999999968
ZENSARTECH.NS,2026-05-25,50,0.0799999999984,0.3399999999932,0.09999999999800001,0.0799999999984,0.09999999999800001,0.1599999999968,0.11999999999760001,0.0,0.11999999999760001,1.3950832224236214,-0.0399999999968,0.060000000004400034,0.020000000001200002,0.04,0.020000000001200002,0.08
SONATSOFTW.NS,2026-05-04,27,0.03703703703566529,0.40740740739231823,0.07407407407133058,0.25925925924965704,0.14814814814266117,0.11111111110699588,0.25925925924965704,0.0,0.25925925924965704,,,,,,,
SONATSOFTW.NS,2026-05-11,17,0.0588235294083045,0.352941176449827,0.0588235294083045,0.117647058816609,0.235294117633218,0.0588235294083045,0.41176470585813146,0.0,0.41176470585813146,-0.7071067810865475,0.02178649237263921,-0.054466230942491256,-0.015250544663026083,-0.14161220043304804,0.08714596949055683,-0.05228758169869138
SONATSOFTW.NS,2026-05-18,16,0.0,0.31249999998046873,0.06249999999609375,0.06249999999609375,0.06249999999609375,0.06249999999609375,0.3749999999765625,0.0,0.3749999999765625,-0.6575959491133211,-0.0588235294083045,-0.04044117646935824,0.003676470587789249,-0.05514705882051525,-0.17279411763712427,0.003676470587789249
SONATSOFTW.NS,2026-05-25,26,0.11538461538017751,0.2692307692204142,0.0,0.0,0.1538461538402367,0.07692307692011835,0.07692307692011835,0.0,0.07692307692011835,0.7755547358552619,0.11538461538017751,-0.04326923076005451,-0.06249999999609375,-0.06249999999609375,0.09134615384414295,0.0144230769240246
INTELLECT.NS,2026-05-04,9,0.0,0.3333333332962963,0.0,0.3333333332962963,0.11111111109876542,0.0,0.5555555554938272,0.0,0.5555555554938272,,,,,,,
INTELLECT.NS,2026-05-11,6,0.0,0.33333333327777775,0.0,0.16666666663888888,0.0,0.0,0.6666666665555555,0.0,0.6666666665555555,-0.7071067808532142,0.0,-1.851852005074761e-11,0.0,-0.1666666666574074,-0.11111111109876542,0.0
INTELLECT.NS,2026-05-18,39,0.0,0.02564102564036818,0.05128205128073636,0.0,0.0,0.07692307692110455,0.20512820512294544,0.10256410256147272,0.10256410256147272,1.150792911074438,0.0,-0.30769230763740957,0.05128205128073636,-0.16666666663888888,0.0,0.07692307692110455
INTELLECT.NS,2026-05-25,52,0.0,0.03846153846079882,0.0,0.09615384615199704,0.05769230769119823,0.01923076923039941,0.24999999999519232,0.07692307692159764,0.17307692307359468,1.1280535857198104,0.0,0.01282051282043064,-0.05128205128073636,0.09615384615199704,0.05769230769119823,-0.05769230769070514
HAPPSTMNDS.NS,2026-05-04,8,0.24999999996875,0.124999999984375,0.0,0.0,0.124999999984375,0.124999999984375,0.999999999875,0.0,0.999999999875,,,,,,,
HAPPSTMNDS.NS,2026-05-18,12,0.08333333332638888,0.33333333330555553,0.0,0.33333333330555553,0.0,0.24999999997916666,0.8333333332638889,0.0,0.8333333332638889,0.7071067809365474,-0.16666666664236113,0.20833333332118054,0.0,0.33333333330555553,-0.124999999984375,0.12499999999479167
HAPPSTMNDS.NS,2026-05-25,56,0.08928571428411991,0.30357142856600766,0.01785714285682398,0.21428571428188778,0.17857142856823982,0.10714285714094389,0.7499999999866072,0.01785714285682398,0.7321428571297832,1.1514402008968125,0.005952380957731027,-0.029761904739547873,0.01785714285682398,-0.11904761902366776,0.17857142856823982,-0.14285714283822276
CYIENT.NS,2026-05-04,7,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428570204082,0.0,0.8571428570204082,,,,,,,
CYIENT.NS,2026-05-11,11,0.0,0.0,0.0,0.0,0.18181818180165288,0.0,0.18181818180165288,0.0,0.18181818180165288,0.7071067809365474,0.0,0.0,0.0,0.0,0.18181818180165288,0.0
CYIENT.NS,2026-05-18,42,0.023809523808956918,0.23809523808956917,0.0,0.19047619047165534,0.047619047617913836,0.023809523808956918,0.28571428570748303,0.0,0.28571428570748303,1.1483906520781917,0.023809523808956918,0.23809523808956917,0.0,0.19047619047165534,-0.13419913418373905,0.023809523808956918
CYIENT.NS,2026-05-25,32,0.06249999999804688,0.06249999999804688,0.0,0.0,0.0,0.06249999999804688,0.24999999999218753,0.0,0.24999999999218753,0.5372137142584873,0.03869047618908997,-0.17559523809152228,0.0,-0.19047619047165534,-0.047619047617913836,0.03869047618908997
LTTS.NS,2026-05-04,11,0.09090909090082644,0.09090909090082644,0.09090909090082644,0.0,0.0,0.0,0.5454545454049586,0.0,0.5454545454049586,,,,,,,
LTTS.NS,2026-05-18,19,0.052631578944598335,0.052631578944598335,0.3684210526121884,0.0,0.052631578944598335,0.052631578944598335,0.63157894733518,0.0,0.63157894733518,0.7071067810615475,-0.038277511956228104,-0.038277511956228104,0.27751196171136194,0.0,0.052631578944598335,0.052631578944598335
LTTS.NS,2026-05-25,51,0.0,0.2745098039161861,0.2745098039161861,0.0,0.11764705882122262,0.03921568627374087,0.4313725490111496,0.0,0.4313725490111496,1.1338934189741101,-0.052631578944598335,0.2218782249715878,-0.09391124869600226,0.0,0.06501547987662429,-0.013415892670857466
OFSS.NS,2026-05-04,31,0.0,0.09677419354526536,0.1290322580603538,0.03225806451508845,0.3548387096659729,0.0,0.22580645160561916,0.0,0.22580645160561916,,,,,,,
